"daysort","cpp","sn","id","si","date","hpc","year","month","day"
36,1.801766,"Sentinel-2B","20190629T025549_20190629T025946_T50SNH",0.000299,2019-06-29 03:07:22,0.24688,"2019","06","29 03:07:22"
37,12.196809,"Sentinel-2A","20190714T025551_20190714T030139_T50SNJ",0.003285,2019-07-14 03:07:04,6.033063,"2019","07","14 03:07:04"
38,2.701514,"Sentinel-2A","20190724T025551_20190724T030139_T50SNJ",0.003779,2019-07-24 03:07:04,0.34331,"2019","07","24 03:07:04"
39,3.52256,"Sentinel-2A","20190724T025551_20190724T030139_T50SNH",0.000116,2019-07-24 03:07:18,0.095696,"2019","07","24 03:07:18"
40,6.278436,"Sentinel-2B","20190808T025549_20190808T030622_T50SNH",0.021121,2019-08-08 03:07:20,3.697022,"2019","08","08 03:07:20"
41,8.484281,"Sentinel-2B","20190818T025549_20190818T025550_T50SNJ",0.001835,2019-08-18 03:07:05,0.277849,"2019","08","18 03:07:05"
42,7.099884,"Sentinel-2B","20190818T025549_20190818T025550_T50SNH",0,2019-08-18 03:07:13,0.03783,"2019","08","18 03:07:13"
43,5.605796,"Sentinel-2B","20190818T025549_20190818T030708_T50SNJ",0,2019-08-18 03:07:13,0.053218,"2019","08","18 03:07:13"
44,7.450682,"Sentinel-2B","20190818T025549_20190818T030708_T50SNH",0,2019-08-18 03:07:20,0.042255,"2019","08","18 03:07:20"
45,1.681025,"Sentinel-2A","20190823T025551_20190823T025546_T50SNJ",0.001931,2019-08-23 03:07:01,0.455225,"2019","08","23 03:07:01"
46,7.079293,"Sentinel-2A","20190823T025551_20190823T025546_T50SNH",0.000163,2019-08-23 03:07:15,0.207972,"2019","08","23 03:07:15"
47,1.049589,"Sentinel-2B","20190828T025549_20190828T025830_T50SNJ",0.001749,2019-08-28 03:07:03,0.387099,"2019","08","28 03:07:03"
48,0.577991,"Sentinel-2B","20190828T025549_20190828T025830_T50SNH",0.000199,2019-08-28 03:07:17,0.115411,"2019","08","28 03:07:17"
49,1.454929,"Sentinel-2A","20190902T025541_20190902T030145_T50SNJ",0.00073,2019-09-02 03:06:59,0.337424,"2019","09","02 03:06:59"
